答案1: 36'2/5
答案2: 3/91
答案3: 72/143
答案4: 18
答案5: 510
答案6: 1318'2/13
答案7: 1/8
答案8: 11'2/5
答案9: 113/1820
答案10: 279'27/35
答案11: 15/1232
答案12: 75'9/11
答案13: 167/1170
答案14: 1'17/18
答案15: 4'16/135
答案16: 2634'2/3
答案17: 228'9/20
答案18: 15'9/17
答案19: 85/162
答案20: 59/900
答案21: 87'1/2
答案22: 7'3/128
答案23: 27'9/25
答案24: 10'12/19
答案25: 4'1/2
答案26: 4'1/4
答案27: 56
答案28: 24/3185
答案29: 4/15
答案30: 49/51
答案31: 95/112
答案32: 40'2/3
答案33: 19/450
答案34: 197'1/19
答案35: 5'1/3
答案36: 3'45/76
答案37: 2'38/99
答案38: 50/87
答案39: 24
答案40: 16/99
答案41: 2'1/2
答案42: 1'1/8
答案43: 222
答案44: 2'1/4
答案45: 247'247/280
答案46: 7/195
答案47: 10'73/81
答案48: 1'17/325
答案49: 256'2/3
答案50: 10/43
答案51: 1/360
答案52: 17/56
答案53: 4'12/17
答案54: 369'3/5
答案55: 5/1598
答案56: 7/64
答案57: 72'8/11
答案58: 1590'3/5
答案59: 5'141/143
答案60: 4/13
答案61: 196'1/2
答案62: 11/52
答案63: 206'7/10
答案64: 22/75
答案65: 47'7/10
答案66: 150'1/7
答案67: 27'7/8
答案68: 90'1/4
答案69: 49/1408
答案70: 955/1197
答案71: 15'61/63
答案72: 31/840
答案73: 263'7/15
答案74: 60'1/2
答案75: 289'1/17
答案76: 590'3/4
答案77: 9/316
答案78: 3'7/15
答案79: 156/341
答案80: 117/128
答案81: 120'3/4
答案82: 11'15/38
答案83: 60'10/19
答案84: 4/7
答案85: 16
答案86: 8/63
答案87: 150
答案88: 30'13/16
答案89: 193
答案90: 45
答案91: 42'16/35
答案92: 27/50
答案93: 229'1/11
答案94: 1'2/3
答案95: 31'14/15
答案96: 4'33/175
答案97: 12'2/5
答案98: 6'5/6
答案99: 29'1/7
答案100: 6/37
