答案1: 1/36
答案2: 3834
答案3: 56
答案4: 19'38/51
答案5: 75'8/17
答案6: 5'32/57
答案7: 32'127/816
答案8: 65'3/14
答案9: 5580
答案10: 19/5724
答案11: 60'14/17
答案12: 33'23/110
答案13: 2'17/19
答案14: 2/3
答案15: 8'10/11
答案16: 330
答案17: 1'353/485
答案18: 19/126
答案19: 6'9/56
答案20: 5'7/9
答案21: 3/55
答案22: 1'1/9
答案23: 2'1/22
答案24: 3'27/35
答案25: 17'113/136
答案26: 2'152/165
答案27: 33'1/3
答案28: 4/189
答案29: 3'67/78
答案30: 34/165
答案31: 3'124/1007
答案32: 2'10/21
答案33: 60
答案34: 24'1/2
答案35: 34'2/7
答案36: 13'1/4
答案37: 11'1/10
答案38: 29/1152
答案39: 13'17/91
答案40: 2/3
答案41: 3'10/91
答案42: 3/19
答案43: 20'7/10
答案44: 16
答案45: 90
答案46: 9'1/2
答案47: 28/153
答案48: 39'7/65
答案49: 224'5/8
答案50: 3'137/171
答案51: 117'6/7
答案52: 211'11/19
答案53: 14'2/7
答案54: 28/51
答案55: 11'51/154
答案56: 4/75
答案57: 125/156
答案58: 33/416
答案59: 3'1/2
答案60: 315
答案61: 13'71/85
答案62: 17'1/208
答案63: 57/445
答案64: 533'82/91
答案65: 11/24
答案66: 4'5/8
答案67: 612
答案68: 6'9/247
答案69: 6'3/7
答案70: 7106
答案71: 1080
答案72: 19/1378
答案73: 11'1/19
答案74: 115/5376
答案75: 73'10/19
答案76: 2'21/32
答案77: 221'1/60
答案78: 155'4/7
答案79: 123'1/5
答案80: 45'19/51
答案81: 4/5
答案82: 84'27/56
答案83: 446'1/2
答案84: 11/56
答案85: 17
答案86: 1/60
答案87: 45'10/13
答案88: 78
答案89: 142'1/2
答案90: 13/244
答案91: 14/45
答案92: 1'71/224
答案93: 738'9/40
答案94: 10'46/77
答案95: 245/312
答案96: 9'37/85
答案97: 1/3
答案98: 3'24/119
答案99: 60/2869
答案100: 31'2/13
